post_verified,post_type,building_type,squares,nums_bedroom,nums_wc,nums_floor,furniture,price,project_names,streets,wards,districts,type_squares
0,vip-gold,Căn hộ chung cư,125.0,3,2,1,Đầy đủ,18.0,Dự án Sunrise City,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,100+
0,vip-gold,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,8.0,Dự án Lavita Garden,Đường 3,Phường Trường Thọ,Thủ Đức,60-80
0,vip-gold,Căn hộ chung cư,53.0,1,1,1,Đầy đủ,9.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,40-60
0,vip-gold,Căn hộ chung cư,92.0,2,2,1,Đầy đủ,12.0,Dự án Celadon City,Đường N1,Phường Sơn Kỳ,Tân Phú,80-100
0,vip-gold,Căn hộ chung cư,63.0,2,2,1,Đầy đủ,7.5,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,60-80
0,vip-gold,Căn hộ chung cư,90.0,2,2,1,Đầy đủ,18.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,80-100
0,vip-gold,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,10.0,Dự án Sunrise City,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,40-60
0,vip-gold,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,15.0,Dự án Sunrise City View,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,60-80
0,vip-gold,Căn hộ chung cư,70.0,2,1,1,Đầy đủ,15.0,Dự án The Gold View,Đường Bến Vân Đồn,Phường 1,4,60-80
0,vip-gold,Căn hộ chung cư,59.0,1,1,1,Cơ bản,15.0,Dự án Vinhomes Golden River Ba Son,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,40-60
0,vip-gold,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,7.0,Dự án Lavita Charm,Đường 1,Phường Trường Thọ,Thủ Đức,60-80
0,vip-gold,Căn hộ chung cư,57.0,1,1,1,Đầy đủ,7.0,Dự án Q7 Boulevard,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,40-60
0,vip-gold,Căn hộ chung cư,53.0,1,1,1,Đầy đủ,7.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,40-60
0,vip-gold,Căn hộ chung cư,66.66,2,2,1,Đầy đủ,13.5,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,60-80
0,vip-gold,Căn hộ chung cư,90.0,3,2,1,Đầy đủ,15.0,Dự án River Panorama,Đường Hoàng Quốc Việt,Phường Phú Thuận,7,80-100
0,vip-gold,Căn hộ chung cư,54.0,1,1,1,Đầy đủ,9.0,Dự án Căn hộ Precia Quận 2,Đường Nguyễn Thị Định,Phường An Phú,2,40-60
0,vip-gold,Căn hộ chung cư,71.0,2,2,1,Đầy đủ,14.0,Dự án Căn hộ Precia Quận 2,Đường Nguyễn Thị Định,Phường An Phú,2,60-80
0,vip-gold,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,9.0,Dự án D’Lusso,Đường Nguyễn Thị Định,Phường An Phú,2,40-60
